Symbol,Security Name,Market Category,Trigger Time
BLCM,Bellicum Pharmaceuticals Comm,R,2/1/2021 11:33:42 AM
MRNA,"Moderna, Inc. Common Stock",Q,2/1/2021 11:55:32 AM
PRTH,Priority Tech Hldgs Cmn,R,2/1/2021 11:58:55 AM
PTICW,PropTech Investment Corporatio,R,2/1/2021 12:44:43 PM
PHUNW,"Phunware, Inc. Warrants",R,2/1/2021 1:06:56 PM
XBIOW,Xenetic Biosciences Warrants,R,2/1/2021 1:07:55 PM
VRMEW,"VerifyMe, Inc. Wt",R,2/1/2021 1:18:02 PM
CGEM,"Cullinan Management, Inc Cm St",Q,2/1/2021 1:23:28 PM
YGMZ,MingZhu Logistics Hd Ltd Ord,R,2/1/2021 1:42:49 PM
CREXW,Creative Realities Inc Wt,R,2/1/2021 2:24:30 PM
ALPN,Alpine Immune Sciences Cmn,Q,2/1/2021 3:12:56 PM
LOACU,Longevity Acquisition Cp Units,R,2/1/2021 3:22:37 PM
DSKEW,"Daseke, Inc. Warrant",R,2/1/2021 3:22:55 PM
GOGO,Gogo Inc. Common Stock,Q,2/1/2021 3:49:49 PM
CGNT,Cognyte Software Ord,Q,2/2/2021 9:30:00 AM
PHUNW,"Phunware, Inc. Warrants",R,2/2/2021 9:30:00 AM
CTXRW,Citius Pharmaceuticals Wt,R,2/2/2021 9:30:01 AM
THCBU,Tuscan Holdings Unit,R,2/2/2021 9:30:01 AM
IMTE,Integrated Media Tech ORDS,R,2/2/2021 9:30:01 AM
BBBY,Bed Bath & Beyond Inc,Q,2/2/2021 9:30:01 AM
LACQ,Leisure Acquisition Corp Cm St,R,2/2/2021 9:30:01 AM
NAKD,Naked Brand Group Limited Ord,R,2/2/2021 9:30:01 AM
IMVT,"Immunovant, Inc. Cmn Stk",Q,2/2/2021 9:30:01 AM
KOSS,Koss Corp,R,2/2/2021 9:30:01 AM
YGMZ,MingZhu Logistics Hd Ltd Ord,R,2/2/2021 9:30:02 AM
ALYA,Alithya Group inc. A Sub Vt Sh,R,2/2/2021 9:30:02 AM
SNDL,Sundial Growers Inc. Cm Sh,R,2/2/2021 9:30:02 AM
PHUN,"Phunware, Inc. Common Stock",R,2/2/2021 9:30:02 AM
TBLTW,ToughBuilt Ind Warrant,R,2/2/2021 9:30:02 AM
SIEB,Siebert Financial Corp,R,2/2/2021 9:30:02 AM
THCB,Tuscan Holdings Corp. Cmn Stk,R,2/2/2021 9:30:27 AM
MITK,Mitek Systems Inc,R,2/2/2021 9:31:04 AM
THCBW,Tuscan Holdings Corp.WTS,R,2/2/2021 9:31:05 AM
CURIW,CuriosityStream Warrant,R,2/2/2021 9:31:29 AM
ADMS,"Adamas Pharmaceuticals, Inc Cm",Q,2/2/2021 9:31:41 AM
HOVNP,Hovanian Enterprises Inc. Dep.,Q,2/2/2021 9:32:45 AM
CACC,Credit Acceptance Corporation,Q,2/2/2021 9:33:12 AM
FTIVW,FinTech Acquisition Corp IV WT,R,2/2/2021 9:36:04 AM
PSTI,Pluristem Therapeutics Inc.,Q,2/2/2021 9:36:19 AM
VBIV,"VBI Vaccines, Inc. Cm Stk",R,2/2/2021 9:36:39 AM
DVAX,Dynavax Technologies Corp,R,2/2/2021 9:37:18 AM
PAAS,Pan American Silver Corp,Q,2/2/2021 9:38:30 AM
DRIOW,DarioHealth Corp. Wts,R,2/2/2021 9:40:47 AM
CTRM,Castor Maritime Inc. CS,R,2/2/2021 9:41:02 AM
WKHS,Workhorse Group Common Stock,R,2/2/2021 9:41:09 AM
SPWR,SunPower Corporation,Q,2/2/2021 9:41:30 AM
IRBT,iRobot Corporation,Q,2/2/2021 9:43:06 AM
HJLIW,Hancock Jaffe Laboratories Wts,R,2/2/2021 9:43:23 AM
NLSPW,NLS Pharmaceutics Ltd. Wt,R,2/2/2021 9:44:07 AM
SINO,"Sino-Global Shipping America,",R,2/2/2021 9:45:06 AM
PXSAW,Pyxis Tankers Inc. Warrant,R,2/2/2021 9:47:53 AM
CLMT,Calumet Specialty Products Par,Q,2/2/2021 9:49:10 AM
VIR,Vir Biotechnology Inc Cmn Stk,Q,2/2/2021 9:49:49 AM
TWNKW,"Hostess Brands, Inc Wts",R,2/2/2021 9:50:26 AM
INO,Inovio Pharmaceuticals Cmn,Q,2/2/2021 9:50:52 AM
SRNE,Sorrento Therapeutics Cmn,R,2/2/2021 9:51:29 AM
FOSL,"Fossil Group, Inc. Common Stk",Q,2/2/2021 9:52:31 AM
AIRTW,Air T Inc. Warrants,Q,2/2/2021 9:54:56 AM
SHIPW,Seanergy Maritime Holdings Cor,R,2/2/2021 9:57:15 AM
AXDX,"Accelerate Diagnostics, Inc.",R,2/2/2021 9:58:03 AM
